User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_280,7,whole,Whole,0.21583125607462578
persona_280,7,state_analysis,State Analysis,0.24827122511193672
persona_280,7,strategy,Strategy,0.2297347319055009
persona_280,7,response,Response,0.17952104793408655
persona_280,8,whole,Whole,0.1926977265743247
persona_280,8,state_analysis,State Analysis,0.20499843839744242
persona_280,8,strategy,Strategy,0.11744167359015262
persona_280,8,response,Response,0.18454170564750902
persona_280,9,whole,Whole,0.20638905355399972
persona_280,9,state_analysis,State Analysis,0.1930991151348098
persona_280,9,strategy,Strategy,0.02965974554927776
persona_280,9,response,Response,0.22188772535301637
persona_280,10,whole,Whole,0.2431289959756384
persona_280,10,state_analysis,State Analysis,0.25979031576027845
persona_280,10,strategy,Strategy,0.0
persona_280,10,response,Response,0.22437010232437618
