User,Turn,Max Sentence Entropy
persona_58,3,0.5061158961443861
persona_58,5,0.3119830688266073
persona_58,7,0.357342170048727
persona_58,9,0.4156035556079209
persona_58,11,0.4616441876770022
persona_58,13,0.5123098310417847
persona_58,15,0.5385584462252462
persona_58,17,0.599983124325306
persona_58,19,0.4547675406861274
persona_13,3,0.5302645212974224
persona_13,5,0.19302539987928577
persona_13,7,0.3931618144829046
persona_13,9,0.3314854554910511
persona_13,11,0.37648901801103646
persona_13,13,0.271825067229052
persona_13,15,0.44300306924867566
persona_13,17,0.4336179254704641
persona_13,19,0.339327128159945
persona_141,3,0.38042114194492405
persona_141,5,0.23668875233645453
persona_141,7,0.30167908701093094
persona_141,9,0.4535789226694056
persona_141,11,0.3602780857247446
persona_141,13,0.6558810583877871
persona_141,15,0.3858698556893777
persona_141,17,0.5689933571486279
persona_141,19,0.3671558893630338
