User,Turn,Max Sentence Entropy
persona_115,2,0.433829062626674
persona_115,3,0.42141722453986075
persona_115,4,0.3651159092369939
persona_115,5,0.7008601507710501
persona_115,6,0.7127429288039596
persona_115,7,0.6882828368885727
persona_115,8,0.5396557594155249
persona_115,9,0.659221721831448
persona_115,10,0.5385383479672861
persona_72,2,0.35343785848335235
persona_72,3,0.506690499790539
persona_72,4,0.5927241906042774
persona_72,5,0.5118104241021707
persona_72,6,0.5776165938771034
persona_72,7,0.6713488707892146
persona_72,8,0.42340551914570934
persona_72,9,0.5402388993214509
persona_72,10,0.5843737202770775
persona_53,2,0.623909543368458
persona_53,3,0.4368576002070895
persona_53,4,0.29487004797782407
persona_53,5,0.4881757254791708
persona_53,6,0.5052166952304956
persona_53,7,0.6236585856958687
persona_53,8,0.31607055746610335
persona_53,9,0.5529201049231138
persona_53,10,0.4941009737292367
