User,Turn,Max Sentence Entropy
persona_115,2,0.6761032426227356
persona_115,3,0.8923301465416107
persona_115,4,0.5436737231251612
persona_115,5,0.6073945464882368
persona_115,6,0.6467963534890051
persona_115,7,0.7576065952096727
persona_115,8,0.7304399314900443
persona_115,9,0.654659164855645
persona_115,10,0.8385002451964527
persona_72,2,0.6720486292874088
persona_72,3,0.7325054619472217
persona_72,4,0.7557703955124302
persona_72,5,0.644643743540839
persona_53,2,0.6790599045072961
persona_53,3,0.6925877386361854
persona_53,4,0.6850035491967392
persona_53,5,0.5745022045972177
persona_53,6,0.8568213998363946
persona_53,7,0.7471889817070904
persona_53,8,0.7480008384176104
persona_53,9,0.8235573641416938
persona_53,10,0.6322984842333942
persona_280,2,0.7285588714221087
persona_280,3,0.5110688973670893
persona_280,4,0.7761310575334931
persona_280,5,0.6993055120578486
persona_280,6,0.8687961220237379
persona_280,7,0.6042576666237467
persona_280,8,0.6989859857219428
