User,Turn,Phase,Phase_Label,Max Sentence Entropy
persona_280,6,strategy,Strategy,1.842068074395235e-18
persona_280,6,response,Response,0.470998785589354
persona_280,6,overall,Overall,0.6521934261324364
persona_280,7,state_analysis,State Analysis,0.7502868421307711
persona_280,7,strategy,Strategy,0.33892088450367064
persona_280,7,response,Response,0.5182862525044893
persona_280,7,overall,Overall,0.7502868421307711
persona_280,8,state_analysis,State Analysis,0.7168167578829768
persona_280,8,strategy,Strategy,0.34269764164661626
persona_280,8,response,Response,0.4724561563148449
persona_280,8,overall,Overall,0.7168167578829768
persona_280,9,state_analysis,State Analysis,0.6319449753230573
persona_280,9,strategy,Strategy,0.12177796506198846
persona_280,9,response,Response,0.7354186142349524
persona_280,9,overall,Overall,0.7354186142349524
persona_280,10,state_analysis,State Analysis,0.7083877988955396
persona_280,10,strategy,Strategy,1.842068074395235e-18
persona_280,10,response,Response,0.5122391282883106
persona_280,10,overall,Overall,0.7083877988955396
