User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_126,7,response,Response,0.16367599547330322
persona_126,8,whole,Whole,0.1909205962077616
persona_126,8,state_analysis,State Analysis,0.16209249584300667
persona_126,8,strategy,Strategy,0.10545334464923962
persona_126,8,response,Response,0.09851605463840944
persona_126,9,whole,Whole,0.13711704087734405
persona_126,9,state_analysis,State Analysis,0.10830593240686247
persona_126,9,strategy,Strategy,0.0
persona_126,9,response,Response,0.13054924714822164
persona_126,10,whole,Whole,0.13560497576076294
persona_126,10,state_analysis,State Analysis,0.09956985986984446
persona_126,10,strategy,Strategy,0.1828599728790227
persona_126,10,response,Response,0.13679789341746687
persona_115,2,whole,Whole,0.13973318691915698
persona_115,2,state_analysis,State Analysis,0.10820601483857124
persona_115,2,strategy,Strategy,0.1412770146475078
persona_115,2,response,Response,0.13342969360239315
persona_115,3,whole,Whole,0.08887162324824505
persona_115,3,state_analysis,State Analysis,0.02700122958686631
persona_115,3,strategy,Strategy,0.06281379137025354
persona_115,3,response,Response,0.15531411735316464
persona_115,4,whole,Whole,0.1270469375592421
persona_115,4,state_analysis,State Analysis,0.12350380247877842
persona_115,4,strategy,Strategy,0.0
persona_115,4,response,Response,0.13219299254208955
persona_115,5,whole,Whole,0.12150298307148355
persona_115,5,state_analysis,State Analysis,0.06789970355918526
persona_115,5,strategy,Strategy,0.11712702143657097
persona_115,5,response,Response,0.15178563955324684
persona_115,6,whole,Whole,0.12577763625950159
persona_115,6,state_analysis,State Analysis,0.09780221422088635
persona_115,6,strategy,Strategy,0.09860437283362522
persona_115,6,response,Response,0.12854966664190282
persona_115,7,whole,Whole,0.09592286459768706
persona_115,7,state_analysis,State Analysis,0.09560742685415204
persona_115,7,strategy,Strategy,0.0
persona_115,7,response,Response,0.11963484950134362
persona_115,8,whole,Whole,0.18656883758599252
persona_115,8,state_analysis,State Analysis,0.14834346852667576
persona_115,8,strategy,Strategy,0.0
persona_115,8,response,Response,0.130519264771473
persona_115,9,whole,Whole,0.1118620949918655
persona_115,9,state_analysis,State Analysis,0.09415849239960589
persona_115,9,strategy,Strategy,0.0
persona_115,9,response,Response,0.015133642931481922
persona_115,10,whole,Whole,0.11628061130037108
persona_115,10,state_analysis,State Analysis,0.12888745443226127
persona_115,10,strategy,Strategy,0.0
persona_115,10,response,Response,0.10748858244087156
persona_72,2,whole,Whole,0.14349219148516942
persona_72,2,state_analysis,State Analysis,0.14230794959977625
persona_72,2,strategy,Strategy,0.14413664100091117
persona_72,2,response,Response,0.16779837935600633
persona_72,3,whole,Whole,0.1117714529406603
persona_72,3,state_analysis,State Analysis,0.131761358634336
persona_72,3,strategy,Strategy,0.056149471882223044
persona_72,3,response,Response,0.15021279546373112
persona_72,4,whole,Whole,0.14708196067429943
persona_72,4,state_analysis,State Analysis,0.14265479650250312
persona_72,4,strategy,Strategy,0.17196985265269019
persona_72,4,response,Response,0.13048274317119185
persona_72,5,whole,Whole,0.1467130226965384
persona_72,5,state_analysis,State Analysis,0.13177219749441116
persona_72,5,strategy,Strategy,0.14594143958305109
persona_72,5,response,Response,0.14443982939896124
persona_72,6,whole,Whole,0.08530020912371437
persona_72,6,state_analysis,State Analysis,0.09523918771193583
persona_72,6,strategy,Strategy,0.0
persona_72,6,response,Response,0.061956794240422094
persona_72,7,whole,Whole,0.17002687157888843
persona_72,7,state_analysis,State Analysis,0.1310998041471588
persona_72,7,strategy,Strategy,0.07844397983658365
persona_72,7,response,Response,0.14023222517795822
persona_72,8,whole,Whole,0.19117625177432254
persona_72,8,state_analysis,State Analysis,0.1656981706812556
persona_72,8,strategy,Strategy,0.17316713506521925
persona_72,8,response,Response,0.10588099169843425
persona_72,9,whole,Whole,0.15418072120368426
persona_72,9,state_analysis,State Analysis,0.15596664018740042
persona_72,9,strategy,Strategy,0.08712509382018954
persona_72,9,response,Response,0.1286828903785432
persona_53,2,whole,Whole,0.16511744457189603
persona_53,2,state_analysis,State Analysis,0.06797225468804603
persona_53,2,strategy,Strategy,0.04421850347000243
persona_53,2,response,Response,0.08195674697285918
persona_53,3,whole,Whole,0.09426130572915074
persona_53,3,state_analysis,State Analysis,0.10602957364257984
persona_53,3,strategy,Strategy,0.07910898898978169
persona_53,3,response,Response,0.0872419726423925
persona_53,4,whole,Whole,0.1334467282939709
persona_53,4,state_analysis,State Analysis,0.06835061390133158
persona_53,4,strategy,Strategy,0.17217630662851396
persona_53,4,response,Response,0.16957335408774557
persona_53,5,whole,Whole,0.11843911023011312
persona_53,5,state_analysis,State Analysis,0.11396167744205206
persona_53,5,strategy,Strategy,0.21791315273197098
persona_53,5,response,Response,0.06338267650793937
persona_53,6,whole,Whole,0.13896972188758372
persona_53,6,state_analysis,State Analysis,0.14481388711762655
persona_53,6,strategy,Strategy,0.11651843090051968
persona_53,6,response,Response,0.12632830530334246
persona_53,7,whole,Whole,0.10134576627113671
persona_53,7,state_analysis,State Analysis,0.10548266930488072
persona_53,7,strategy,Strategy,0.0
persona_53,7,response,Response,0.12803917617255267
persona_53,8,whole,Whole,0.12616815183437843
persona_53,8,state_analysis,State Analysis,0.12049684180486162
persona_53,8,strategy,Strategy,0.0
persona_53,8,response,Response,0.09221904114663047
persona_53,9,whole,Whole,0.1574336139837507
persona_53,9,state_analysis,State Analysis,0.1407564166003595
persona_53,9,strategy,Strategy,0.06355509170838006
persona_53,9,response,Response,0.044090105744636336
persona_53,10,whole,Whole,0.13810516648422524
persona_53,10,state_analysis,State Analysis,0.14186094121903622
persona_53,10,strategy,Strategy,0.0
persona_53,10,response,Response,0.11481486844988088
persona_280,2,whole,Whole,0.12179882558703377
persona_280,2,state_analysis,State Analysis,0.15459549261493125
persona_280,2,strategy,Strategy,0.04467039014260721
persona_280,2,response,Response,0.18180221781039496
persona_280,3,whole,Whole,0.10161417538050589
persona_280,3,state_analysis,State Analysis,0.08329184840931719
persona_280,3,strategy,Strategy,0.13346927159964975
persona_280,3,response,Response,0.1128186610516729
persona_280,4,whole,Whole,0.19056528181357646
persona_280,4,state_analysis,State Analysis,0.1353837271664894
persona_280,4,strategy,Strategy,0.2868763364961317
persona_280,4,response,Response,0.1682793837457426
persona_280,5,whole,Whole,0.1363602891119633
persona_280,5,state_analysis,State Analysis,0.10542582054083703
persona_280,5,strategy,Strategy,0.0
persona_280,5,response,Response,0.142431593933637
persona_280,6,whole,Whole,0.14325104334290623
persona_280,6,state_analysis,State Analysis,0.1494716839984656
persona_280,6,strategy,Strategy,0.204991125535558
persona_280,6,response,Response,0.15278478358583542
persona_280,7,whole,Whole,0.15800095032829894
persona_280,7,state_analysis,State Analysis,0.1862389316615232
persona_280,7,strategy,Strategy,0.0
persona_280,7,response,Response,0.12790741021695975
persona_280,8,whole,Whole,0.1882446683117526
persona_280,8,state_analysis,State Analysis,0.1876416556209995
persona_280,8,strategy,Strategy,0.011471671080433102
persona_280,8,response,Response,0.015603486408862754
persona_280,9,whole,Whole,0.15200402840445534
persona_280,9,state_analysis,State Analysis,0.1450570637202332
persona_280,9,strategy,Strategy,0.0
persona_280,9,response,Response,0.036756236841211494
persona_280,10,whole,Whole,0.16102569620003485
