Prev_User_Category,Action Facilitation,Core Persuasion,Exploration
Defensive,-0.021621621621621633,0.06874999999999999,-0.045714285714285714
Evasion,0.018285714285714277,0.009128630705394184,-0.050877192982456146
Offensive,-0.16,0.17142857142857143,-0.13333333333333333
