User,Turn,Max Sentence Entropy
persona_58,3,0.5234392832834599
persona_58,5,0.3274661165554014
persona_58,7,0.38159035230384886
persona_58,9,0.5166463154635765
persona_58,11,0.3936588795819544
persona_58,13,0.4952062744506746
persona_58,15,0.39824863240342684
persona_58,17,0.4127691413478431
persona_58,19,0.29926474789918234
persona_13,3,0.3018158092748971
persona_13,5,0.3033996104973656
persona_13,7,0.30057407619067816
persona_13,9,0.40061966264989374
persona_13,11,0.4414811835173281
persona_13,13,0.4774697030588716
persona_13,15,0.333835786520816
persona_13,17,0.5074492214382667
persona_13,19,0.5185172787605636
persona_141,3,0.523399705880107
persona_141,5,0.5123930186613483
persona_141,7,0.41030472583994515
persona_141,9,0.4776202855089343
persona_141,11,0.44721867967779444
persona_141,13,0.6191261988171616
persona_141,15,0.5499149376003609
persona_141,17,0.48221453278512133
persona_141,19,0.32609945029430853
